"Distance","FileA","FileB","SizeA","SizeB","DimensionsA","DimensionsB"
"0","2012 for new products\SB-12004B.JPG","2012 for new products\上傳檔案for www\SB-12004B.JPG","5073595","109222","3810x2382","767x480"
"0","2012 for new products\SB-12004M側面圖.JPG","2012 for new products\上傳檔案for www\SB-12004M側面圖.JPG","4744112","95914","3672x2442","640x425"
"0","2013-taipei\JPE\F-01副本.jpg","alpha-one pic 舊照片\BLT-001.jpg","882052","756655","1209x827","1209x827"
"1","001\_DSC6930.JPG","2012 for new products\上傳檔案for www\LB-12001.JPG","4888871","112301","4288x2848","721x480"
"1","2012 for new products\SB-12004S.JPG","2012 for new products\上傳檔案for www\SB-12004S.JPG","4350833","100102","3606x2430","712x480"
"2","003\_DSC6927.JPG","2012 for new products\上傳檔案for www\UB-12002.JPG","3628632","95948","4288x2848","722x480"
"2","2017\OT-17012 28x24x9.jpg","2017\OT-17021.jpg","50256","59911","1200x819","1200x789"
"3","2012 for new products\SB-12006.JPG","2012 for new products\上傳檔案for www\SB-12006.JPG","5132629","85374","3018x2778","521x480"
"3","2017\mmexport1498046634799.jpg","2017\OT-17012 28x24x9.jpg","66897","50256","1200x851","1200x819"
"3","2017\mmexport1498046634799.jpg","2017\OT-17021.jpg","66897","59911","1200x851","1200x789"
"4","alpha-one pic 舊照片\OG-001.jpg","alpha-one pic 舊照片\OG-001honey.jpg","422611","355586","2700x1793","2700x1793"
"5","2016\MB-16001-DW.jpg","alpha-one pic 舊照片\UB-001.JPG","1893258","114827","7373x4921","2710x1800"
"5","alpha-one pic 舊照片\BB-001.JPG","alpha-one pic 舊照片\LB-002B.JPG","338775","147793","2710x1800","2700x1793"
"5","alpha-one pic 舊照片\LB-002.JPG","alpha-one pic 舊照片\LB-002B.JPG","213585","147793","2700x1793","2700x1793"
"5","alpha-one pic 舊照片\OG-001.jpg","alpha-one pic 舊照片\OG-001black.jpg","422611","349810","2700x1793","2700x1793"
"5","alpha-one pic 舊照片\SB-001.JPG","alpha-one pic 舊照片\SB-005.JPG","127195","490044","2700x1793","2700x1793"
"5","alpha-one新照片\曲線甜甜圈.JPG","alpha-one新照片\甜甜圈1 (2).JPG","861329","882871","4592x2576","4592x2576"
