"GroupHash","Action","RelativePath","Size"
"F871BD31AC46CC36C4E4F2509A092341393289CA5B86A2781BF25C7AF3752BEB","KEEP","001\DSC01372.JPG","4947968"
"F871BD31AC46CC36C4E4F2509A092341393289CA5B86A2781BF25C7AF3752BEB","DUPLICATE","2012 for new products\001\LB-12001側面圖.JPG","4947968"
"F8BD482EFAB257F495250A545B81975CBEAC316B70146476BAC912EF5205600B","KEEP","001\_DSC6930.JPG","4888871"
"F8BD482EFAB257F495250A545B81975CBEAC316B70146476BAC912EF5205600B","DUPLICATE","2012 for new products\001\LB-12001.JPG","4888871"
"89D8CBC36E69D0F85005132CFE05618316B6416264609C25B1338535090585C4","KEEP","002\_DSC6924.JPG","3664654"
"89D8CBC36E69D0F85005132CFE05618316B6416264609C25B1338535090585C4","DUPLICATE","2012 for new products\002\_DSC6924.JPG","3664654"
"A0CACD5890750F16C4FD846ABB07E2493B1A6D1715D64C78A9DD16B63B9551C6","KEEP","002\_DSC6926.JPG","3646501"
"A0CACD5890750F16C4FD846ABB07E2493B1A6D1715D64C78A9DD16B63B9551C6","DUPLICATE","2012 for new products\002\_DSC6926.JPG","3646501"
"F25789BC2FB3BE7EA9120EE567DB7E9FEB5758241043C96C49EF3DCA21E2436B","KEEP","003\_DSC6927.JPG","3628632"
"F25789BC2FB3BE7EA9120EE567DB7E9FEB5758241043C96C49EF3DCA21E2436B","DUPLICATE","2012 for new products\003\UB-12002.JPG","3628632"
"7A46027CA74CB375E83544B9D494D722A1052EB49E6BBA1DFAC79A36B6FF3073","KEEP","003\_DSC6928.JPG","3700732"
"7A46027CA74CB375E83544B9D494D722A1052EB49E6BBA1DFAC79A36B6FF3073","DUPLICATE","2012 for new products\003\_DSC6928.JPG","3700732"
"12CCD9C688828226FF334574FB2085EAE3E1251075934DED8B43255A165A2117","KEEP","2013\SB-15001.JPG","2121520"
"12CCD9C688828226FF334574FB2085EAE3E1251075934DED8B43255A165A2117","DUPLICATE","2015\SB-15001.JPG","2121520"
"12CCD9C688828226FF334574FB2085EAE3E1251075934DED8B43255A165A2117","DUPLICATE","2013\定型包130114.JPG","2121520"
"12CCD9C688828226FF334574FB2085EAE3E1251075934DED8B43255A165A2117","DUPLICATE","2013\DSC_5624 130114.JPG","2121520"
