"Path","RelativePath","Size","Width","Height","DHash"
"C:\Users\HQ-240319\company-site\product-images\001\DSC01372.JPG","001\DSC01372.JPG","4947968","6000","3376","931303303c347478"
"C:\Users\HQ-240319\company-site\product-images\001\_DSC6930.JPG","001\_DSC6930.JPG","4888871","4288","2848","0323283d5d585878"
"C:\Users\HQ-240319\company-site\product-images\002\_DSC6924.JPG","002\_DSC6924.JPG","3664654","4288","2848","444a787860687056"
"C:\Users\HQ-240319\company-site\product-images\002\_DSC6926.JPG","002\_DSC6926.JPG","3646501","4288","2848","200638786c6c6452"
"C:\Users\HQ-240319\company-site\product-images\003\_DSC6927.JPG","003\_DSC6927.JPG","3628632","4288","2848","041a7a666470724e"
"C:\Users\HQ-240319\company-site\product-images\003\_DSC6928.JPG","003\_DSC6928.JPG","3700732","4288","2848","4046746c646c6c52"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12004B.JPG","2012 for new products\SB-12004B.JPG","5073595","3810","2382","4cecc87077656560"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12004M.JPG","2012 for new products\SB-12004M.JPG","4109269","3096","2448","4658704e4e6e4c68"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12004M側面圖.JPG","2012 for new products\SB-12004M側面圖.JPG","4744112","3672","2442","4741607874317175"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12004S.JPG","2012 for new products\SB-12004S.JPG","4350833","3606","2430","4143cce878503776"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12006.JPG","2012 for new products\SB-12006.JPG","5132629","3018","2778","427e7e7c6c784478"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\SB-12006背面圖.JPG","2012 for new products\SB-12006背面圖.JPG","4072310","2616","2436","404464640c1a905c"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\_DSC6934.JPG","2012 for new products\_DSC6934.JPG","3397108","2346","2556","5a786cccc8486c60"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\_DSC6937.JPG","2012 for new products\_DSC6937.JPG","3306439","2940","2172","4c72707c4cf0c070"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\001\LB-12001.JPG","2012 for new products\001\LB-12001.JPG","4888871","4288","2848","0323283d5d585878"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\001\LB-12001側面圖.JPG","2012 for new products\001\LB-12001側面圖.JPG","4947968","6000","3376","931303303c347478"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\002\_DSC6924.JPG","2012 for new products\002\_DSC6924.JPG","3664654","4288","2848","444a787860687056"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\002\_DSC6926.JPG","2012 for new products\002\_DSC6926.JPG","3646501","4288","2848","200638786c6c6452"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\003\UB-12002.JPG","2012 for new products\003\UB-12002.JPG","3628632","4288","2848","041a7a666470724e"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\003\_DSC6928.JPG","2012 for new products\003\_DSC6928.JPG","3700732","4288","2848","4046746c646c6c52"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\LB-12001.JPG","2012 for new products\上傳檔案for www\LB-12001.JPG","112301","721","480","0323293d5d585878"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\SB-12004B.JPG","2012 for new products\上傳檔案for www\SB-12004B.JPG","109222","767","480","4cecc87077656560"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\SB-12004M側面圖.JPG","2012 for new products\上傳檔案for www\SB-12004M側面圖.JPG","95914","640","425","4741607874317175"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\SB-12004S.JPG","2012 for new products\上傳檔案for www\SB-12004S.JPG","100102","712","480","4147cce878503776"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\SB-12006.JPG","2012 for new products\上傳檔案for www\SB-12006.JPG","85374","521","480","422e7e7c6c784470"
"C:\Users\HQ-240319\company-site\product-images\2012 for new products\上傳檔案for www\UB-12002.JPG","2012 for new products\上傳檔案for www\UB-12002.JPG","95948","722","480","061a78666470724e"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5623.JPG","2013\DSC_5623.JPG","5429482","6174","4198","40c0f2e6e4ece4e4"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5624 130114.JPG","2013\DSC_5624 130114.JPG","2121520","3902","3694","0c62e0e4f07e7470"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5625 定型包.JPG","2013\DSC_5625 定型包.JPG","2470845","5238","3454","426c6cccc2cefc1c"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5625.JPG","2013\DSC_5625.JPG","2470845","5238","3454","426c6cccc2cefc1c"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5629.JPG","2013\DSC_5629.JPG","4252344","6846","4422","6668d6acacec6c7a"
"C:\Users\HQ-240319\company-site\product-images\2013\DSC_5630.JPG","2013\DSC_5630.JPG","3054369","5894","4622","4c3c71f8d8d8f860"
"C:\Users\HQ-240319\company-site\product-images\2013\LB-13001 S 背面.JPG","2013\LB-13001 S 背面.JPG","6046413","6462","3958","e4a5a5adadad8fd2"
"C:\Users\HQ-240319\company-site\product-images\2013\LB-13001L.JPG","2013\LB-13001L.JPG","5174945","6598","4414","c0e08ee65e4bcb7a"
"C:\Users\HQ-240319\company-site\product-images\2013\LB-13002S 130114.JPG","2013\LB-13002S 130114.JPG","5561499","6022","4238","444d4b5b4a4aca6a"
